X_Value,Voltage,Voltage_0,Temperature_1
1.316071,-0.014346,22.63592,23.671291
1.326071,-0.012734,22.629478,23.671291
1.336071,-0.007901,22.626257,24.389175
1.341077,-0.009512,22.63592,23.431893
1.351077,-0.009512,22.632699,23.910638
1.361077,-0.011123,22.639142,23.910638
1.371077,-0.009512,22.642363,23.272265
1.381077,-0.012734,22.63592,23.910638
1.391077,-0.004678,22.63592,23.352082
1.401077,-0.007901,22.63592,23.352082
1.411077,-0.009512,22.639142,22.393904
1.421077,-0.006289,22.63592,23.272265
1.431077,-0.011123,22.626257,24.309433
1.437082,-0.009512,22.63592,23.910638
1.447082,-0.007901,22.626257,23.032781
1.457082,-0.011123,22.626257,23.990408
1.467082,-0.019179,22.63592,24.389175
1.477082,-0.007901,22.63592,23.751079
1.487082,-0.014346,22.632699,23.671291
1.497082,-0.009512,22.632699,23.830861
1.507082,-0.011123,22.639142,24.149932
1.517082,-0.014346,22.63592,22.633526
1.527082,-0.009512,22.632699,23.112614
1.533088,-0.009512,22.63592,24.229685
1.543088,-0.011123,22.632699,23.112614
1.553088,-0.014346,22.632699,23.751079
1.563088,-0.012734,22.639142,23.511698
1.573088,-0.011123,22.632699,24.070173
1.583088,-0.007901,22.639142,22.713388
1.593088,-0.011123,22.626257,23.990408
1.603088,-0.009512,22.63592,23.591497
1.613088,-0.012734,22.639142,23.511698
1.623088,-0.014346,22.632699,23.032781
1.629093,-0.012734,22.63592,23.431893
1.639093,-0.011123,22.632699,23.591497
1.649093,-0.011123,22.629478,23.112614
1.659093,-0.012734,22.632699,23.910638
1.669093,-0.012734,22.63592,24.149932
1.679093,-0.011123,22.63592,22.952941
1.689093,-0.011123,22.63592,24.149932
1.699093,-0.012734,22.639142,25.265948
1.709093,-0.007901,22.632699,23.671291
1.719093,-0.014346,22.639142,23.272265
1.725099,-0.014346,22.639142,23.032781
1.735099,-0.009512,22.632699,24.149932
1.745099,-0.012734,22.629478,24.149932
1.755099,-0.014346,22.63592,23.192443
1.765099,-0.014346,22.632699,23.671291
1.775099,-0.012734,22.632699,22.952941
1.785099,-0.014346,22.632699,24.628365
1.795099,-0.006289,22.63592,22.873096
1.805099,-0.012734,22.626257,24.149932
1.815099,-0.012734,22.63592,23.830861
1.821104,-0.015957,22.63592,24.149932
1.831104,-0.012734,22.639142,23.671291
1.841104,-0.014346,22.632699,23.511698
1.851104,-0.014346,22.63592,22.393904
1.861104,-0.011123,22.63592,24.309433
1.871104,-0.004678,22.63592,24.309433
1.881104,-0.014346,22.639142,23.751079
1.891104,-0.012734,22.632699,23.272265
1.901104,-0.012734,22.639142,24.229685
1.911104,-0.011123,22.639142,22.633526
1.91711,-0.014346,22.632699,22.873096
1.92711,-0.007901,22.629478,23.112614
1.93711,-0.012734,22.63592,24.46891
1.94711,-0.009512,22.63592,24.867502
1.95711,-0.012734,22.642363,23.272265
1.96711,-0.012734,22.63592,24.070173
1.97711,-0.006289,22.63592,23.352082
1.98711,-0.015957,22.63592,23.511698
1.99711,-0.011123,22.629478,23.032781
2.00711,-0.009512,22.632699,24.070173
2.013115,-0.009512,22.632699,24.309433
2.023115,-0.011123,22.632699,22.393904
2.033115,-0.012734,22.632699,23.352082
2.043115,-0.014346,22.629478,23.272265
2.053115,-0.004678,22.63592,24.070173
2.063115,-0.012734,22.642363,23.431893
2.073115,-0.009512,22.63592,24.149932
2.083115,-0.012734,22.63592,24.149932
2.093115,-0.012734,22.639142,23.511698
2.103115,-0.012734,22.642363,23.591497
2.108121,-0.012734,22.639142,23.751079
2.118121,-0.012734,22.632699,23.112614
2.128121,-0.012734,22.63592,23.272265
2.138121,-0.011123,22.629478,23.431893
2.148121,-0.011123,22.632699,24.46891
2.158121,-0.011123,22.63592,23.352082
2.168121,-0.009512,22.63592,23.192443
2.178121,-0.012734,22.632699,23.990408
2.188121,-0.004678,22.63592,23.511698
2.198121,-0.012734,22.632699,22.633526
2.204126,-0.004678,22.639142,23.671291
2.214126,-0.011123,22.63592,23.990408
2.224126,-0.007901,22.639142,23.272265
2.234126,-0.015957,22.632699,24.229685
2.244126,-0.009512,22.63592,23.112614
2.254126,-0.011123,22.632699,23.990408
2.264126,-0.009512,22.63592,23.192443
2.274126,-0.012734,22.639142,23.910638
2.284126,-0.011123,22.632699,24.389175
2.294126,-0.009512,22.639142,24.149932
2.299131,-0.014346,22.639142,23.751079
2.309131,-0.012734,22.63592,23.112614
2.319131,-0.007901,22.632699,23.192443
2.329131,-0.009512,22.629478,23.990408
2.339131,-0.012734,22.629478,23.112614
2.349131,-0.012734,22.629478,23.671291
2.359131,-0.009512,22.63592,24.149932
2.369131,-0.009512,22.63592,23.192443
2.379131,-0.007901,22.632699,23.032781
2.389131,-0.011123,22.629478,23.990408
2.394137,-0.014346,22.629478,24.947203
2.404137,-0.011123,22.632699,22.553657
2.414137,-0.012734,22.639142,23.910638
2.424137,-0.012734,22.629478,23.352082
2.434137,-0.009512,22.632699,23.112614
2.444137,-0.009512,22.63592,23.830861
2.454137,-0.012734,22.63592,24.708083
2.464137,-0.007901,22.63592,23.910638
2.474137,-0.012734,22.629478,22.952941
2.484137,-0.012734,22.639142,22.793245
2.490142,-0.012734,22.629478,24.070173
2.500142,-0.012734,22.63592,23.352082
2.510142,-0.011123,22.63592,23.990408
2.520142,-0.012734,22.63592,24.149932
2.530142,-0.014346,22.63592,22.793245
2.540142,-0.012734,22.63592,24.149932
2.550142,-0.011123,22.642363,24.54864
2.560142,-0.006289,22.639142,23.511698
2.570142,-0.012734,22.629478,23.272265
2.580142,-0.012734,22.639142,23.431893
2.587148,-0.009512,22.629478,23.910638
2.597148,-0.012734,22.626257,23.751079
2.607148,-0.012734,22.63592,22.873096
2.617148,-0.009512,22.63592,23.751079
2.627148,-0.011123,22.642363,23.830861
2.637148,-0.007901,22.632699,22.473784
2.647148,-0.011123,22.63592,23.990408
2.657148,-0.012734,22.632699,23.751079
2.667148,-0.007901,22.639142,22.873096
2.677148,-0.012734,22.63592,24.149932
2.683154,-0.012734,22.639142,22.952941
2.693154,-0.011123,22.639142,24.708083
2.703154,-0.012734,22.639142,24.46891
2.713154,-0.012734,22.639142,22.793245
2.723154,-0.009512,22.63592,24.070173
2.733154,-0.012734,22.63592,22.393904
2.743154,-0.012734,22.632699,23.032781
2.753154,-0.012734,22.629478,23.990408
2.763154,-0.009512,22.632699,23.352082
2.773154,-0.014346,22.632699,23.192443
2.779159,-0.007901,22.639142,23.671291
2.789159,-0.012734,22.63592,24.070173
2.799159,-0.012734,22.629478,22.952941
2.809159,-0.011123,22.63592,24.628365
2.819159,-0.011123,22.63592,23.272265
2.829159,-0.011123,22.63592,23.671291
2.839159,-0.014346,22.629478,23.830861
2.849159,-0.012734,22.626257,22.633526
2.859159,-0.007901,22.629478,23.511698
2.869159,-0.009512,22.642363,23.591497
2.874164,-0.011123,22.626257,24.229685
2.884164,-0.014346,22.629478,23.511698
2.894164,-0.007901,22.639142,23.751079
2.904164,-0.011123,22.63592,22.314019
2.914164,-0.011123,22.639142,23.192443
2.924164,-0.012734,22.632699,24.149932
2.934164,-0.011123,22.639142,23.511698
2.944164,-0.012734,22.63592,22.793245
2.954164,-0.012734,22.642363,22.793245
2.964164,-0.011123,22.63592,23.830861
2.97017,-0.012734,22.63592,23.830861
2.98017,-0.011123,22.639142,24.070173
2.99017,-0.012734,22.629478,23.830861
3.00017,-0.009512,22.63592,23.511698
3.01017,-0.012734,22.632699,22.793245
3.02017,-0.011123,22.632699,23.511698
3.03017,-0.012734,22.63592,23.671291
3.04017,-0.007901,22.63592,23.352082
3.05017,-0.011123,22.632699,23.431893
3.06017,-0.009512,22.639142,23.830861
3.066175,-0.007901,22.63592,24.070173
3.076175,-0.007901,22.629478,23.751079
3.086175,-0.009512,22.642363,23.511698
3.096175,-0.006289,22.639142,23.751079
3.106175,-0.012734,22.63592,24.070173
3.116175,-0.015957,22.629478,23.431893
3.126175,-0.011123,22.63592,23.032781
3.136175,-0.007901,22.642363,24.149932
3.146175,-0.012734,22.632699,23.032781
3.156175,-0.009512,22.639142,23.511698
3.162181,-0.009512,22.639142,23.591497
3.172181,-0.012734,22.639142,24.54864
3.182181,-0.012734,22.642363,24.46891
3.192181,-0.012734,22.63592,23.671291
3.202181,-0.009512,22.63592,23.751079
3.212181,-0.011123,22.639142,22.633526
3.222181,-0.015957,22.63592,23.431893
3.232181,-0.004678,22.629478,23.910638
3.242181,-0.009512,22.632699,24.070173
3.252181,-0.012734,22.642363,24.309433
3.258186,-0.011123,22.63592,22.793245
3.268186,-0.009512,22.639142,24.149932
3.278186,-0.012734,22.632699,23.272265
3.288186,-0.012734,22.623036,23.751079
3.298186,-0.009512,22.63592,23.591497
3.308186,-0.014346,22.63592,23.431893
3.318186,-0.009512,22.629478,23.910638
3.328186,-0.006289,22.639142,23.431893
3.338186,-0.011123,22.63592,24.070173
3.348186,-0.015957,22.632699,23.591497
3.353192,-0.011123,22.63592,23.591497
3.363192,-0.012734,22.632699,23.352082
3.373192,-0.009512,22.639142,23.511698
3.383192,-0.014346,22.642363,23.830861
3.393192,-0.014346,22.63592,23.272265
3.403192,-0.012734,22.629478,24.149932
3.413192,-0.011123,22.632699,23.112614
3.423192,-0.015957,22.639142,23.272265
3.433192,-0.014346,22.639142,23.431893
3.443192,-0.014346,22.639142,23.671291
3.449197,-0.012734,22.63592,23.910638
3.459197,-0.011123,22.639142,24.628365
3.469197,-0.015957,22.632699,22.553657
3.479197,-0.014346,22.639142,23.591497
3.489197,-0.014346,22.632699,25.106587
3.499197,-0.012734,22.639142,22.393904
3.509197,-0.012734,22.639142,23.591497
3.519197,-0.015957,22.63592,24.149932
3.529197,-0.014346,22.63592,23.591497
3.539197,-0.017568,22.632699,24.229685
3.545203,-0.014346,22.642363,23.591497
3.555203,-0.014346,22.639142,23.910638
3.565203,-0.020791,22.63592,24.46891
3.575203,-0.012734,22.632699,23.511698
3.585203,-0.015957,22.639142,23.910638
3.595203,-0.014346,22.632699,23.511698
3.605203,-0.017568,22.626257,23.352082
3.615203,-0.015957,22.63592,24.309433
3.625203,-0.009512,22.63592,24.149932
3.635203,-0.014346,22.639142,23.511698
3.640208,-0.015957,22.63592,24.309433
3.650208,-0.014346,22.639142,23.671291
3.660208,-0.019179,22.629478,23.272265
3.670208,-0.012734,22.639142,23.591497
3.680208,-0.015957,22.632699,22.633526
3.690208,-0.014346,22.63592,23.990408
3.700208,-0.014346,22.639142,23.192443
3.710208,-0.014346,22.63592,23.830861
3.720208,-0.017568,22.63592,23.511698
3.730208,-0.015957,22.632699,22.873096
3.736214,-0.011123,22.642363,23.511698
3.746214,-0.014346,22.639142,24.947203
3.756214,-0.012734,22.63592,24.149932
3.766214,-0.017568,22.63592,23.591497
3.776214,-0.007901,22.63592,24.070173
3.786214,-0.012734,22.63592,23.352082
3.796214,-0.012734,22.639142,23.751079
3.806214,-0.009512,22.63592,24.229685
3.816214,-0.009512,22.63592,23.431893
3.826214,-0.011123,22.632699,23.830861
3.832219,-0.014346,22.63592,23.272265
3.842219,-0.011123,22.63592,23.671291
3.852219,-0.014346,22.639142,23.032781
3.862219,-0.009512,22.63592,23.032781
3.872219,-0.011123,22.632699,23.272265
3.882219,-0.014346,22.639142,23.431893
3.892219,-0.012734,22.63592,23.112614
3.902219,-0.014346,22.63592,23.910638
3.912219,-0.014346,22.63592,22.633526
3.922219,-0.011123,22.639142,23.910638
3.927225,-0.012734,22.63592,23.511698
3.937225,-0.014346,22.632699,23.192443
3.947225,-0.014346,22.639142,23.671291
3.957225,-0.011123,22.63592,22.633526
3.967225,-0.012734,22.639142,24.708083
3.977225,-0.019179,22.639142,24.070173
3.987225,-0.011123,22.632699,23.751079
3.997225,-0.012734,22.629478,24.149932
4.007225,-0.012734,22.63592,23.751079
4.017225,-0.012734,22.639142,23.830861
4.02223,-0.007901,22.63592,22.952941
4.03223,-0.011123,22.632699,23.830861
4.04223,-0.022402,22.63592,23.192443
4.05223,-0.009512,22.63592,23.830861
4.06223,-0.007901,22.63592,24.309433
4.07223,-0.012734,22.632699,24.309433
4.08223,-0.009512,22.639142,24.149932
4.09223,-0.011123,22.639142,23.272265
4.10223,-0.007901,22.639142,23.990408
4.11223,-0.012734,22.639142,23.751079
4.118236,-0.007901,22.629478,23.272265
4.128236,-0.009512,22.639142,23.032781
4.138236,-0.004678,22.63592,23.751079
4.148236,-0.003067,22.63592,22.952941
4.158236,-0.004678,22.639142,23.671291
4.168236,-0.007901,22.63592,23.830861
4.178236,-0.006289,22.632699,22.952941
4.188236,-0.006289,22.63592,23.272265
4.198236,-0.001456,22.63592,23.990408
4.208236,-0.007901,22.63592,23.511698
4.214241,-0.007901,22.63592,23.910638
4.224241,-0.006289,22.63592,23.192443
4.234241,-0.003067,22.639142,24.787796
4.244241,-0.003067,22.629478,23.671291
4.254241,-0.006289,22.626257,23.671291
4.264241,-0.003067,22.629478,24.787796
4.274241,-0.006289,22.626257,23.830861
4.284241,-0.003067,22.639142,23.751079
4.294241,0.000156,22.629478,23.112614
4.304241,0.003378,22.639142,23.192443
4.309246,-0.001456,22.63592,23.511698
4.319246,0.000156,22.639142,24.229685
4.329246,-0.001456,22.63592,23.272265
4.339246,0.001767,22.632699,23.671291
4.349246,0.011434,22.626257,24.070173
4.359246,0.004989,22.639142,23.990408
4.369246,0.004989,22.626257,24.787796
4.379246,0.008212,22.639142,23.830861
